file,title,meta_description_length,canonical,h1_count,image_count,missing_alt,missing_loading
index.html,Churchill Memorials — Desktop Rebuild Prototype,172,https://churchillmemorials.co.uk/,15,23,0,0
product/eternal-cross/index.html,Eternal Cross | Churchill Memorials,151,https://churchillmemorials.co.uk/product/eternal-cross/,1,1,0,0
product/lily-cross/index.html,Lily Cross | Churchill Memorials,157,https://churchillmemorials.co.uk/product/lily-cross/,1,1,0,0
product/rose-cross/index.html,Rose Cross | Churchill Memorials,157,https://churchillmemorials.co.uk/product/rose-cross/,1,1,0,0
product/celtic-cross/index.html,Celtic Cross | Churchill Memorials,150,https://churchillmemorials.co.uk/product/celtic-cross/,1,1,0,0
product/angel-heart/index.html,Angel Heart | Churchill Memorials,149,https://churchillmemorials.co.uk/product/angel-heart/,1,1,0,0
product/grace-vase/index.html,Grace Vase | Churchill Memorials,157,https://churchillmemorials.co.uk/product/grace-vase/,1,1,0,0
product/rose-vase/index.html,Rose Vase | Churchill Memorials,156,https://churchillmemorials.co.uk/product/rose-vase/,1,1,0,0
product/serene-stone/index.html,Serene Stone | Churchill Memorials,149,https://churchillmemorials.co.uk/product/serene-stone/,1,1,0,0
product/lily-light/index.html,Lily Light | Churchill Memorials,157,https://churchillmemorials.co.uk/product/lily-light/,1,1,0,0
product/willow-grace/index.html,Willow Grace | Churchill Memorials,150,https://churchillmemorials.co.uk/product/willow-grace/,1,1,0,0
product/cedar-grace/index.html,Cedar Grace | Churchill Memorials,149,https://churchillmemorials.co.uk/product/cedar-grace/,1,1,0,0
product/peace-vase/index.html,Peace Vase | Churchill Memorials,157,https://churchillmemorials.co.uk/product/peace-vase/,1,2,0,0
product/meadow-grace/index.html,Meadow Grace | Churchill Memorials,150,https://churchillmemorials.co.uk/product/meadow-grace/,1,1,0,0
product/pearl-grace/index.html,Pearl Grace | Churchill Memorials,149,https://churchillmemorials.co.uk/product/pearl-grace/,1,2,0,0
product/golden-grace/index.html,Golden Grace | Churchill Memorials,150,https://churchillmemorials.co.uk/product/golden-grace/,1,1,0,0
product/silver-grace/index.html,Silver Grace | Churchill Memorials,150,https://churchillmemorials.co.uk/product/silver-grace/,1,2,0,0
product/morning-grace/index.html,Morning Grace | Churchill Memorials,151,https://churchillmemorials.co.uk/product/morning-grace/,1,1,0,0
product/still-grace/index.html,Still Grace | Churchill Memorials,149,https://churchillmemorials.co.uk/product/still-grace/,1,2,0,0
product/gentle-heart/index.html,Gentle Heart | Churchill Memorials,149,https://churchillmemorials.co.uk/product/gentle-heart/,1,1,0,0
product/garden-rest/index.html,Garden Rest | Churchill Memorials,153,https://churchillmemorials.co.uk/product/garden-rest/,1,2,0,0
product/dove-vase/index.html,Dove Vase | Churchill Memorials,151,https://churchillmemorials.co.uk/product/dove-vase/,1,2,0,0
product/peace-garden/index.html,Peace Garden | Churchill Memorials,154,https://churchillmemorials.co.uk/product/peace-garden/,1,1,0,0
product/rose-garden/index.html,Rose Garden | Churchill Memorials,153,https://churchillmemorials.co.uk/product/rose-garden/,1,2,0,0
product/grace-book/index.html,Grace Book | Churchill Memorials,152,https://churchillmemorials.co.uk/product/grace-book/,1,1,0,0
product/tiny-angel/index.html,Tiny Angel | Churchill Memorials,152,https://churchillmemorials.co.uk/product/tiny-angel/,1,1,0,0
product/legacy-garden/index.html,Legacy Garden | Churchill Memorials,155,https://churchillmemorials.co.uk/product/legacy-garden/,1,1,0,0
product/soft-angel/index.html,Soft Angel | Churchill Memorials,152,https://churchillmemorials.co.uk/product/soft-angel/,1,1,0,0
product/grace-garden/index.html,Grace Garden | Churchill Memorials,154,https://churchillmemorials.co.uk/product/grace-garden/,1,3,0,0
product/serene-garden/index.html,Serene Garden | Churchill Memorials,155,https://churchillmemorials.co.uk/product/serene-garden/,1,1,0,0
product/evergreen-rest/index.html,Evergreen Rest | Churchill Memorials,156,https://churchillmemorials.co.uk/product/evergreen-rest/,1,1,0,0
product/quiet-garden/index.html,Quiet Garden | Churchill Memorials,154,https://churchillmemorials.co.uk/product/quiet-garden/,1,2,0,0
